"Timestamp","1- Gender:","2- On which do you play the most?","3- What Game genres do you play the most?","4- How often do you play video games?","5- How many hours do you spend playing video games in one day?","6- Do you prefer to play alone or with your friends (either online or offline)?","7- Do you play for a professional team or take part in professional gaming tournaments?","8- Mainly, why do you play video games?","9- How many hours do you sleep at night every day?","10- Do you have difficulty sleeping?","11- How long does it usually take you to sleep after going to bed?","12- Do you randomly wake up in the middle of the night?","13- How many times do you wake up in one night?","14- Do you believe there is a direct correlation between gaming addiction and Insomnia?","15- Do you feel exhausted after waking up in the morning?","16- Do you have trouble focusing or paying attention during the day?","17- Did you notice any changes in your sleep schedule after starting to play video games?","18- What changes did you notice in your sleep routine? ","19- How do you think video games affect your sleep?","20- Did you try to reduce gaming time to enhance your sleep quality?","21- If “yes”, what results did you observe after reducing your gaming time?","22- From your perspective, can you determine the role of media in spreading awareness about the effects of video games on the increasing rates of insomnia? ","23- What are your suggestions regarding this matter?"
"2024/03/20 10:23:03 pm GMT+3","Female.","sony.","Shooting games.;Action Games.;Fighting games.","sometimes (once or twice a week).","1-3 hours.","Alone.","No.","To beat boredom.","More than 8 hours.","Rarely.","Less than 1 hour.","Rarely.","I don’t.","Maybe.","Yes.","Occasionally.","Maybe.","Feeling tired/exhausted.;Difficulty focusing.;Sudden mood swings.","Blue light emitted from screens prevents melatonin.;Excitement and constant stimulation from gaming make it difficult to relax and sleep.","Yes.","Increased productivity.;Better attention.","Good.","Nothing "
"2024/03/20 10:23:08 pm GMT+3","Female.","sony.","Shooting games.;Action Games.;Fighting games.","sometimes (once or twice a week).","1-3 hours.","Alone.","No.","To beat boredom.","More than 8 hours.","Rarely.","Less than 1 hour.","Rarely.","I don’t.","Maybe.","Yes.","Occasionally.","Maybe.","Feeling tired/exhausted.;Difficulty focusing.;Sudden mood swings.","Blue light emitted from screens prevents melatonin.;Excitement and constant stimulation from gaming make it difficult to relax and sleep.","Yes.","Increased productivity.;Better attention.","Good.","Nothing "
"2024/03/20 10:26:55 pm GMT+3","Male.","sony.","Shooting games.;Open-world games.","Regularly (several times a week).","4-6 hours.","Together.","Planning on playing professionally.","To socialise and play with friends.","6-8 hours.","Rarely.","1 to 3 hours.","Rarely.","Twice or 3 times maximum.","Maybe.","Occasionally.","Rarely.","I don't know.","Feeling tired/exhausted.","Blue light emitted from screens prevents melatonin.;Excitement and constant stimulation from gaming make it difficult to relax and sleep.","Yes.","Enhanced sleep quality.","Average.",""
"2024/03/20 10:38:15 pm GMT+3","Female.","sony.","Shooting games.","sometimes (once or twice a week).","1-3 hours.","Alone.","Yes.","To relieve stress and tension.","Less than 1 hour.","Yes.","1 to 3 hours.","Rarely.","I don’t.","No.","Occasionally.","Occasionally.","Maybe.","Difficulty sleeping.","Blue light emitted from screens prevents melatonin.","Yes.","Better attention.","Good.","Nothing"
"2024/03/20 10:40:04 pm GMT+3","Female.","Personal Computer (PC).","Shooting games.;Survival games.;Open-world games.","Daily.","4-6 hours.","Together.","No.","To relieve stress and tension.","1-3 hours.","Occasionally.","Less than 1 hour.","Occasionally.","Twice or 3 times maximum.","Maybe.","Occasionally.","Yes.","Yes.","Repeatedly waking up during the night.;Lack of sleep.;Feeling tired/exhausted.","Disordered sleeping schedule as a result of gaming late at night.","No.","Enhanced sleep quality.","Average.","I have no suggestions"
"2024/03/20 10:43:11 pm GMT+3","Female.","Mobile.","Open-world games.","Never","1-3 hours.","Alone.","No.","To compete with others.","6-8 hours.","Yes.","1 to 3 hours.","Occasionally.","I don’t.","No.","Yes.","Occasionally.","No.","Lack of sleep.;","Blue light emitted from screens prevents melatonin.","No.","Elevated mood.","Good.",""
"2024/03/20 10:47:34 pm GMT+3","Female.","Mobile.","Open-world games.","Regularly (several times a week).","1-3 hours.","Alone.","No.","To relieve stress and tension.","3-6 hours.","Occasionally.","Less than 1 hour.","Occasionally.","Twice or 3 times maximum.","Maybe.","Occasionally.","Occasionally.","I don't know.","Feeling tired/exhausted.;Difficulty focusing.","Blue light emitted from screens prevents melatonin.;Low physical activity while gaming causes irregularities in sleep.","No.","","Weak.",""
"2024/03/20 10:52:49 pm GMT+3","Female.","Mobile.","Action Games.;Simulator games.;Strategy games.","Rarely (once or twice a month).","1-3 hours.","Alone.","No.","To relieve stress and tension.","Less than 1 hour.","Yes.","1 to 3 hours.","Yes.","Twice or 3 times maximum.","Maybe.","Rarely.","Yes.","Maybe.","Difficulty sleeping.;Repeatedly waking up during the night.;Feeling tired/exhausted.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.","No.","","Weak.",""
"2024/03/20 10:57:21 pm GMT+3","Male.","Personal Computer (PC).","Shooting games.;Open-world games.;Strategy games.","sometimes (once or twice a week).","4-6 hours.","Together.","No.","To beat boredom.","3-6 hours.","Rarely.","1 to 3 hours.","Occasionally.","Twice or 3 times maximum.","No.","Occasionally.","Occasionally.","No.","Repeatedly waking up during the night.;Feeling tired/exhausted.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Enhanced sleep quality.;Increased productivity.","Weak.",""
"2024/03/20 10:58:18 pm GMT+3","Male.","Mobile.","Shooting games.;Simulator games.;Sports games.","Rarely (once or twice a month).","1-3 hours.","Together.","Yes.","As a reward after completing academic tasks.","1-3 hours.","Occasionally.","1 to 3 hours.","Yes.","Twice or 3 times maximum.","Yes.","Occasionally.","Yes.","Yes.","Repeatedly waking up during the night.;Lack of sleep.;Sudden mood swings.","Excitement and constant stimulation from gaming make it difficult to relax and sleep.;Low physical activity while gaming causes irregularities in sleep.","Yes.","Enhanced sleep quality.;Better attention.","Weak.",""
